C,R,W,ConversionGain,NoiseFigure,VoltageSwing
1.1e-13,250,2.6e-05,-37.06,8.795,0.00143
1.1e-13,250,2.7e-05,-34.58,8.93,0.001397
1.1e-13,250,2.8e-05,-31.62,9.076,0.001397
1.1e-13,250,2.9e-05,-29.71,9.235,0.001377
1.1e-13,250,3e-05,-27.8,9.408,0.001341
1.1e-13,260,2e-05,-23.59,8.111,0.001544
1.1e-13,260,1.2e-05,-0.164,7.797,0.001627
1.1e-13,260,1.3e-05,-3.28,7.788,0.001621
1.1e-13,260,1.4e-05,-12.84,7.798,0.001619
1.1e-13,260,1.5e-05,-18.69,7.822,0.001612
1.1e-13,260,1.6e-05,-19.3,7.86,0.001597
1.1e-13,260,1.7e-05,-20.1,7.908,0.001589
1.1e-13,260,1.8e-05,-21.19,7.967,0.001574
1.1e-13,260,1.9e-05,-22.42,8.034,0.001559
1.1e-13,260,2.1e-05,-25.34,8.195,0.001524
1.1e-13,260,2.2e-05,-27.43,8.287,0.001499
1.1e-13,260,2.3e-05,-29.05,8.387,0.001492
1.1e-13,260,2.4e-05,-32.45,8.496,0.001473
1.1e-13,260,2.5e-05,-35.8,8.613,0.001457
1.1e-13,260,2.6e-05,-36.69,8.738,0.001433
1.1e-13,260,2.7e-05,-34.31,8.874,0.001405
1.1e-13,260,2.8e-05,-31.43,9.02,0.001402
1.1e-13,260,2.9e-05,-29.57,9.178,0.001383
1.1e-13,260,3e-05,-27.71,9.351,0.001347
1.1e-13,270,2e-05,-23.64,8.057,0.001548
1.1e-13,270,1.2e-05,-0.177,7.738,0.001633
1.1e-13,270,1.3e-05,-3.295,7.73,0.001637
1.1e-13,270,1.4e-05,-12.81,7.741,0.001628
1.1e-13,270,1.5e-05,-18.73,7.766,0.001622
1.1e-13,270,1.6e-05,-19.34,7.804,0.001607
1.1e-13,270,1.7e-05,-20.14,7.853,0.001595
1.1e-13,270,1.8e-05,-21.23,7.912,0.001584
1.1e-13,270,1.9e-05,-22.47,7.98,0.001565
1.1e-13,270,2.1e-05,-25.41,8.142,0.001535
1.1e-13,270,2.2e-05,-27.52,8.234,0.001511
1.1e-13,270,2.3e-05,-29.13,8.335,0.001498
1.1e-13,270,2.4e-05,-32.53,8.443,0.001478
1.1e-13,270,2.5e-05,-35.77,8.56,0.001463
1.1e-13,270,2.6e-05,-36.41,8.685,0.001439
1.1e-13,270,2.7e-05,-34.05,8.821,0.001411
1.1e-13,270,2.8e-05,-31.26,8.967,0.001409
1.1e-13,270,2.9e-05,-29.44,9.125,0.001392
1.1e-13,270,3e-05,-27.61,9.297,0.001354
1.1e-13,280,2e-05,-23.7,8.006,0.001559
1.1e-13,280,1.2e-05,-0.189,7.682,0.001644
1.1e-13,280,1.3e-05,-3.31,7.675,0.00164
1.1e-13,280,1.5e-05,-18.76,7.713,0.001623
1.1e-13,280,1.6e-05,-19.37,7.751,0.001613
1.1e-13,280,1.7e-05,-20.18,7.801,0.001603
1.1e-13,280,1.8e-05,-21.28,7.861,0.001588
1.1e-13,280,1.9e-05,-22.52,7.929,0.001571
1.1e-13,280,2.1e-05,-25.48,8.091,0.001545
1.1e-13,280,2.2e-05,-27.6,8.184,0.001521
1.1e-13,280,2.3e-05,-29.21,8.285,0.001512
1.1e-13,280,2.4e-05,-32.59,8.393,0.001486
1.1e-13,280,2.5e-05,-35.73,8.51,0.001469
1.1e-13,280,2.6e-05,-36.16,8.636,0.00145
1.1e-13,280,2.7e-05,-33.83,8.771,0.001418
1.1e-13,280,2.8e-05,-31.11,8.917,0.001418
1.1e-13,280,2.9e-05,-29.32,9.075,0.001394
1.1e-13,280,3e-05,-27.53,9.247,0.001358
1.1e-13,290,2e-05,-23.75,7.959,0.00156
1.1e-13,290,1.2e-05,-0.201,7.629,0.001652
1.1e-13,290,1.3e-05,-3.323,7.623,0.001647
1.1e-13,290,1.4e-05,-12.91,7.636,0.001643
1.1e-13,290,1.5e-05,-18.79,7.663,0.001633
1.1e-13,290,1.6e-05,-19.41,7.702,0.001622
1.1e-13,290,1.8e-05,-21.32,7.813,0.001594
1.1e-13,290,1.9e-05,-22.57,7.882,0.00158
1.1e-13,290,2.1e-05,-25.54,8.044,0.00155
1.1e-13,290,2.2e-05,-27.67,8.137,0.001533
1.1e-13,290,2.3e-05,-29.28,8.238,0.001514
1.1e-13,290,2.4e-05,-32.65,8.347,0.001491
1.1e-13,290,2.5e-05,-35.69,8.464,0.001478
1.1e-13,290,2.6e-05,-35.92,8.589,0.001457
1.1e-13,290,2.7e-05,-33.62,8.724,0.001424
1.1e-13,290,2.8e-05,-30.96,8.87,0.001422
1.1e-13,290,2.9e-05,-29.21,9.028,0.001401
1.1e-13,290,3e-05,-27.45,9.2,0.001363
1.1e-13,300,2e-05,-23.8,7.914,0.00157
1.1e-13,300,1.2e-05,-0.213,7.579,0.001661
1.1e-13,300,1.3e-05,-3.336,7.574,0.001658
1.1e-13,300,1.4e-05,-12.89,7.588,0.001649
1.1e-13,300,1.5e-05,-18.82,7.615,0.001641
1.1e-13,300,1.6e-05,-19.44,7.655,0.001627
1.1e-13,300,1.7e-05,-20.32,7.706,0.001616
1.1e-13,300,1.8e-05,-21.36,7.767,0.001602
1.1e-13,300,1.9e-05,-22.61,7.836,0.001586
1.1e-13,300,2.1e-05,-25.59,8.0,0.001556
1.1e-13,300,2.2e-05,-27.74,8.093,0.001537
1.1e-13,300,2.3e-05,-29.34,8.194,0.001516
1.1e-13,300,2.4e-05,-32.69,8.303,0.001502
1.1e-13,300,2.5e-05,-35.64,8.42,0.001484
1.1e-13,300,2.6e-05,-35.69,8.545,0.001463
1.1e-13,300,2.7e-05,-33.43,8.68,0.001429
1.1e-13,300,2.8e-05,-30.83,8.826,0.001428
1.1e-13,300,2.9e-05,-29.11,8.984,0.001401
1.1e-13,300,3e-05,-27.38,9.155,0.001372
1.1e-13,310,2e-05,-23.85,7.872,0.001575
1.1e-13,310,1.2e-05,-0.225,7.532,0.001661
1.1e-13,310,1.3e-05,-3.348,7.528,0.001662
1.1e-13,310,1.4e-05,-12.87,7.542,0.001654
1.1e-13,310,1.5e-05,-18.85,7.571,0.001648
1.1e-13,310,1.6e-05,-19.47,7.611,0.001637
1.1e-13,310,1.7e-05,-20.35,7.663,0.001624
1.1e-13,310,1.8e-05,-21.4,7.724,0.001607
1.1e-13,310,1.9e-05,-22.66,7.794,0.001595
1.1e-13,310,2.1e-05,-25.65,7.957,0.001563
1.1e-13,310,2.2e-05,-27.8,8.051,0.00154
1.1e-13,310,2.3e-05,-29.4,8.152,0.001526
1.1e-13,310,2.4e-05,-32.73,8.261,0.001508
1.1e-13,310,2.5e-05,-35.57,8.378,0.001491
1.1e-13,310,2.6e-05,-35.49,8.503,0.001464
1.1e-13,310,2.7e-05,-33.25,8.639,0.001434
1.1e-13,310,2.8e-05,-30.7,8.784,0.001431
1.1e-13,310,2.9e-05,-29.01,8.942,0.00141
1.1e-13,310,3e-05,-27.31,9.113,0.001376
1.1e-13,320,2e-05,-23.89,7.831,0.001584
1.1e-13,320,1.2e-05,-0.238,7.487,0.001671
1.1e-13,320,1.3e-05,-3.359,7.484,0.001669
1.1e-13,320,1.4e-05,-12.86,7.499,0.001663
1.1e-13,320,1.5e-05,-18.86,7.528,0.001655
1.1e-13,320,1.6e-05,-19.5,7.569,0.001645
1.1e-13,320,1.7e-05,-20.39,7.621,0.001628
1.1e-13,320,1.8e-05,-21.44,7.683,0.001609
1.1e-13,320,1.9e-05,-22.7,7.753,0.001596
1.1e-13,320,2.1e-05,-25.7,7.918,0.001564
1.1e-13,320,2.2e-05,-27.86,8.011,0.001539
1.1e-13,320,2.3e-05,-29.46,8.112,0.001527
1.1e-13,320,2.4e-05,-32.76,8.221,0.00151
1.1e-13,320,2.5e-05,-35.51,8.339,0.001492
1.1e-13,320,2.6e-05,-35.29,8.464,0.001471
1.1e-13,320,2.7e-05,-33.09,8.599,0.001439
1.1e-13,320,2.8e-05,-30.58,8.745,0.001441
1.1e-13,320,2.9e-05,-28.92,8.902,0.001411
1.1e-13,320,3e-05,-27.25,9.073,0.001381
1.1e-13,330,2e-05,-23.93,7.793,0.001586
1.1e-13,330,1.2e-05,-0.25,7.445,0.001675
1.1e-13,330,1.3e-05,-3.37,7.443,0.001675
1.1e-13,330,1.4e-05,-12.84,7.458,0.001668
1.1e-13,330,1.5e-05,-18.89,7.488,0.001661
1.1e-13,330,1.6e-05,-19.53,7.53,0.001648
1.1e-13,330,1.7e-05,-20.42,7.582,0.001632
1.1e-13,330,1.8e-05,-21.47,7.644,0.001619
1.1e-13,330,1.9e-05,-22.74,7.715,0.001605
1.1e-13,330,2.1e-05,-25.75,7.88,0.001569
1.1e-13,330,2.2e-05,-27.92,7.974,0.001554
1.1e-13,330,2.3e-05,-29.51,8.075,0.001537
1.1e-13,330,2.4e-05,-32.78,8.184,0.001518
1.1e-13,330,2.5e-05,-35.44,8.301,0.001498
1.1e-13,330,2.6e-05,-35.11,8.427,0.001473
1.1e-13,330,2.7e-05,-32.94,8.562,0.001444
1.1e-13,330,2.8e-05,-30.47,8.707,0.001443
1.1e-13,330,2.9e-05,-28.83,8.864,0.001413
1.1e-13,330,3e-05,-27.19,9.035,0.001383
1.1e-13,340,2e-05,-23.97,7.757,0.001595
1.1e-13,340,1.2e-05,-0.262,7.404,0.001684
1.1e-13,340,1.3e-05,-3.38,7.403,0.001683
1.1e-13,340,1.4e-05,-12.83,7.419,0.001674
1.1e-13,340,1.5e-05,-18.91,7.45,0.001668
1.1e-13,340,1.6e-05,-19.55,7.492,0.001652
1.1e-13,340,1.7e-05,-20.45,7.545,0.001641
1.1e-13,340,1.8e-05,-21.5,7.607,0.001627
1.1e-13,340,1.9e-05,-22.78,7.678,0.001607
1.1e-13,340,2.1e-05,-25.79,7.844,0.001576
1.1e-13,340,2.2e-05,-27.97,7.938,0.001553
1.1e-13,340,2.3e-05,-29.56,8.039,0.001542
1.1e-13,340,2.4e-05,-32.79,8.149,0.001521
1.1e-13,340,2.5e-05,-35.38,8.266,0.0015
1.1e-13,340,2.6e-05,-34.95,8.391,0.001477
1.1e-13,340,2.7e-05,-32.79,8.526,0.001449
1.1e-13,340,2.8e-05,-30.37,8.672,0.001449
1.1e-13,340,2.9e-05,-28.6,8.829,0.001424
1.1e-13,340,3e-05,-11.2,8.999,0.00139
1.1e-13,350,2e-05,-24.01,7.723,0.001595
1.1e-13,350,1.2e-05,-0.273,7.366,0.001681
1.1e-13,350,1.3e-05,-3.389,7.366,0.001688
1.1e-13,350,1.4e-05,-12.82,7.383,0.00168
1.1e-13,350,1.5e-05,-18.94,7.413,0.001669
1.1e-13,350,1.6e-05,-19.58,7.456,0.001659
1.1e-13,350,1.7e-05,-20.47,7.51,0.001649
1.1e-13,350,1.8e-05,-21.53,7.573,0.001631
1.1e-13,350,1.9e-05,-22.82,7.644,0.001615
1.1e-13,350,2.1e-05,-25.83,7.81,0.001579
1.1e-13,350,2.2e-05,-28.02,7.904,0.001565
1.1e-13,350,2.3e-05,-29.61,8.006,0.001547
1.1e-13,350,2.4e-05,-32.81,8.115,0.001527
1.1e-13,350,2.5e-05,-35.32,8.232,0.001504
1.1e-13,350,2.6e-05,-34.79,8.358,0.001483
1.1e-13,350,2.7e-05,-32.66,8.493,0.001453
1.1e-13,350,2.8e-05,-30.27,8.638,0.001453
1.1e-13,350,2.9e-05,-28.52,8.795,0.001424
1.1e-13,350,3e-05,-26.96,8.965,0.001392
1.1e-13,360,2e-05,-24.05,7.69,0.001601
1.1e-13,360,1.2e-05,-0.284,7.329,0.001697
1.1e-13,360,1.3e-05,-3.398,7.33,0.001694
1.1e-13,360,1.4e-05,-12.81,7.347,0.001684
1.1e-13,360,1.5e-05,-18.96,7.379,0.001675
1.1e-13,360,1.6e-05,-19.6,7.422,0.001664
1.1e-13,360,1.7e-05,-20.5,7.476,0.001653
1.1e-13,360,1.8e-05,-21.56,7.539,0.001638
1.1e-13,360,1.9e-05,-22.85,7.611,0.001619
1.1e-13,360,2.1e-05,-25.88,7.777,0.001585
1.1e-13,360,2.2e-05,-28.07,7.872,0.001564
1.1e-13,360,2.3e-05,-29.65,7.974,0.001549
1.1e-13,360,2.4e-05,-32.82,8.083,0.001534
1.1e-13,360,2.5e-05,-35.25,8.2,0.001512
1.1e-13,360,2.6e-05,-34.64,8.326,0.001494
1.1e-13,360,2.7e-05,-32.53,8.46,0.001457
1.1e-13,360,2.8e-05,-30.18,8.606,0.001455
1.1e-13,360,2.9e-05,-28.45,8.762,0.001434
1.1e-13,360,3e-05,-26.91,8.932,0.001397
1.1e-13,370,2e-05,-24.08,7.659,0.001604
1.1e-13,370,1.2e-05,-0.294,7.295,0.001698
1.1e-13,370,1.3e-05,-3.407,7.296,0.001697
1.1e-13,370,1.4e-05,-12.79,7.314,0.001691
1.1e-13,370,1.5e-05,-18.98,7.346,0.001679
1.1e-13,370,1.6e-05,-19.62,7.39,0.001667
1.1e-13,370,1.7e-05,-20.53,7.444,0.001656
1.1e-13,370,1.8e-05,-21.59,7.508,0.001639
1.1e-13,370,1.9e-05,-22.88,7.579,0.001623
1.1e-13,370,2.1e-05,-25.91,7.746,0.001588
1.1e-13,370,2.2e-05,-28.11,7.841,0.001568
1.1e-13,370,2.3e-05,-29.81,7.943,0.001556
1.1e-13,370,2.4e-05,-32.82,8.052,0.001532
1.1e-13,370,2.5e-05,-35.18,8.17,0.001515
1.1e-13,370,2.6e-05,-34.5,8.295,0.001493
1.1e-13,370,2.7e-05,-32.41,8.43,0.001461
1.1e-13,370,2.8e-05,-30.1,8.575,0.001459
1.1e-13,370,2.9e-05,-28.39,8.732,0.001434
1.1e-13,370,3e-05,-26.86,8.901,0.001401
1.1e-13,380,2e-05,-24.11,7.629,0.001615
1.1e-13,380,1.2e-05,-0.304,7.261,0.001692
1.1e-13,380,1.3e-05,-3.415,7.263,0.001703
1.1e-13,380,1.4e-05,-12.78,7.282,0.001697
1.1e-13,380,1.5e-05,-19.0,7.315,0.001683
1.1e-13,380,1.6e-05,-19.64,7.359,0.001669
1.1e-13,380,1.7e-05,-20.55,7.414,0.00166
1.1e-13,380,1.8e-05,-21.62,7.477,0.001643
1.1e-13,380,1.9e-05,-22.91,7.549,0.001629
1.1e-13,380,2.1e-05,-25.95,7.717,0.001592
1.1e-13,380,2.2e-05,-28.16,7.812,0.001577
1.1e-13,380,2.3e-05,-29.84,7.914,0.001562
1.1e-13,380,2.4e-05,-32.83,8.023,0.00154
1.1e-13,380,2.5e-05,-35.12,8.141,0.001518
1.1e-13,380,2.6e-05,-34.36,8.266,0.001498
1.1e-13,380,2.7e-05,-32.3,8.401,0.001465
1.1e-13,380,2.8e-05,-30.01,8.546,0.001462
1.1e-13,380,2.9e-05,-28.33,8.702,0.001437
1.1e-13,380,3e-05,-26.82,8.872,0.001405
1.1e-13,390,2e-05,-24.14,7.601,0.001614
1.1e-13,390,1.2e-05,-0.313,7.229,0.00171
1.1e-13,390,1.3e-05,-3.422,7.232,0.001708
1.1e-13,390,1.4e-05,-12.77,7.251,0.001696
1.1e-13,390,1.5e-05,-19.02,7.284,0.00169
1.1e-13,390,1.6e-05,-19.67,7.329,0.001678
1.1e-13,390,1.7e-05,-20.57,7.384,0.001663
1.1e-13,390,1.8e-05,-21.64,7.448,0.001649
1.1e-13,390,1.9e-05,-22.94,7.521,0.001631
1.1e-13,390,2.1e-05,-25.99,7.689,0.001599
1.1e-13,390,2.2e-05,-28.2,7.784,0.001577
1.1e-13,390,2.3e-05,-29.88,7.886,0.001564
1.1e-13,390,2.4e-05,-32.83,7.995,0.001545
1.1e-13,390,2.5e-05,-35.05,8.113,0.001519
1.1e-13,390,2.6e-05,-34.24,8.238,0.001503
1.1e-13,390,2.7e-05,-32.2,8.373,0.001468
1.1e-13,390,2.8e-05,-29.94,8.518,0.001467
1.1e-13,390,2.9e-05,-28.27,8.674,0.001436
1.1e-13,390,3e-05,-26.59,8.844,0.001407
1.1e-13,400,2e-05,-24.27,7.574,0.00162
1.1e-13,400,1.2e-05,-0.322,7.199,0.001714
1.1e-13,400,1.3e-05,-3.43,7.202,0.001711
1.1e-13,400,1.4e-05,-12.76,7.222,0.001704
1.1e-13,400,1.5e-05,-19.04,7.256,0.001691
1.1e-13,400,1.6e-05,-19.68,7.301,0.001682
1.1e-13,400,1.7e-05,-20.6,7.356,0.00167
1.1e-13,400,1.8e-05,-21.67,7.421,0.001652
1.1e-13,400,1.9e-05,-22.97,7.494,0.001638
1.1e-13,400,2.1e-05,-26.02,7.662,0.001598
1.1e-13,400,2.2e-05,-28.24,7.757,0.001584
1.1e-13,400,2.3e-05,-29.91,7.859,0.001566
1.1e-13,400,2.4e-05,-32.83,7.969,0.001545
1.1e-13,400,2.5e-05,-34.99,8.086,0.001525
1.1e-13,400,2.6e-05,-34.12,8.212,0.001505
1.1e-13,400,2.7e-05,-32.1,8.346,0.001472
1.1e-13,400,2.8e-05,-29.86,8.491,0.001467
1.1e-13,400,2.9e-05,-28.22,8.647,0.001446
1.1e-13,400,3e-05,-26.58,8.815,0.001412
1.1e-13,410,2e-05,-24.3,7.548,0.001623
1.1e-13,410,1.2e-05,-0.331,7.17,0.001721
1.1e-13,410,1.3e-05,-3.437,7.174,0.001713
1.1e-13,410,1.4e-05,-12.76,7.194,0.001707
1.1e-13,410,1.5e-05,-19.06,7.228,0.001701
1.1e-13,410,1.6e-05,-19.7,7.274,0.001685
1.1e-13,410,1.7e-05,-20.62,7.33,0.001676
1.1e-13,410,1.8e-05,-21.69,7.394,0.001653
1.1e-13,410,1.9e-05,-23.0,7.467,0.001642
1.1e-13,410,2.1e-05,-26.05,7.636,0.001602
1.1e-13,410,2.2e-05,-28.27,7.731,0.001592
1.1e-13,410,2.3e-05,-29.94,7.833,0.001571
1.1e-13,410,2.4e-05,-32.83,7.943,0.00155
1.1e-13,410,2.5e-05,-34.93,8.061,0.001527
1.1e-13,410,2.6e-05,-34.01,8.186,0.001505
1.1e-13,410,2.7e-05,-32.0,8.321,0.001475
1.1e-13,410,2.8e-05,-29.8,8.466,0.00147
1.1e-13,410,2.9e-05,-28.17,8.622,0.001446
1.1e-13,410,3e-05,-26.54,8.789,0.001412
1.1e-13,420,2e-05,-24.32,7.523,0.001622
1.1e-13,420,1.2e-05,-0.339,7.142,0.001722
1.1e-13,420,1.3e-05,-3.444,7.147,0.001716
1.1e-13,420,1.4e-05,-12.75,7.167,0.001712
1.1e-13,420,1.5e-05,-19.07,7.202,0.001703
1.1e-13,420,1.6e-05,-19.72,7.248,0.001686
1.1e-13,420,1.7e-05,-20.64,7.304,0.001673
1.1e-13,420,1.8e-05,-21.71,7.369,0.00166
1.1e-13,420,1.9e-05,-23.03,7.442,0.001642
1.1e-13,420,2.1e-05,-26.08,7.611,0.001608
1.1e-13,420,2.2e-05,-28.31,7.707,0.001592
1.1e-13,420,2.3e-05,-29.97,7.809,0.001574
1.1e-13,420,2.4e-05,-32.83,7.919,0.001551
1.1e-13,420,2.5e-05,-34.87,8.036,0.001538
1.1e-13,420,2.6e-05,-33.9,8.162,0.001512
1.1e-13,420,2.7e-05,-31.92,8.296,0.001478
1.1e-13,420,2.8e-05,-29.73,8.441,0.001475
1.1e-13,420,2.9e-05,-28.12,8.597,0.001444
1.1e-13,420,3e-05,-26.5,8.764,0.001417
1.1e-13,430,2e-05,-24.35,7.499,0.001628
1.1e-13,430,1.2e-05,-0.347,7.115,0.001725
1.1e-13,430,1.3e-05,-3.45,7.12,0.001724
1.1e-13,430,1.4e-05,-12.74,7.142,0.001717
1.1e-13,430,1.5e-05,-19.09,7.177,0.001704
1.1e-13,430,1.6e-05,-19.74,7.223,0.001696
1.1e-13,430,1.7e-05,-20.66,7.279,0.001684
1.1e-13,430,1.8e-05,-21.73,7.345,0.001662
1.1e-13,430,1.9e-05,-23.05,7.418,0.001646
1.1e-13,430,2.1e-05,-26.11,7.588,0.001613
1.1e-13,430,2.2e-05,-28.34,7.683,0.001599
1.1e-13,430,2.3e-05,-29.99,7.785,0.001572
1.1e-13,430,2.4e-05,-32.83,7.895,0.001552
1.1e-13,430,2.5e-05,-34.71,8.013,0.001535
1.1e-13,430,2.6e-05,-33.8,8.138,0.001509
1.1e-13,430,2.7e-05,-31.83,8.273,0.001481
1.1e-13,430,2.8e-05,-29.67,8.418,0.001478
1.1e-13,430,2.9e-05,-28.07,8.574,0.001454
1.1e-13,430,3e-05,-26.46,8.741,0.001416
1.1e-13,440,2e-05,-24.38,7.476,0.001635
1.1e-13,440,1.2e-05,-0.355,7.089,0.001734
1.1e-13,440,1.3e-05,-3.456,7.095,0.001727
1.1e-13,440,1.4e-05,-12.73,7.117,0.001721
1.1e-13,440,1.5e-05,-19.1,7.152,0.001712
1.1e-13,440,1.6e-05,-19.76,7.199,0.001701
1.1e-13,440,1.7e-05,-20.68,7.256,0.00168
1.1e-13,440,1.8e-05,-21.75,7.321,0.001669
1.1e-13,440,1.9e-05,-23.08,7.395,0.001652
1.1e-13,440,2.1e-05,-26.14,7.565,0.001614
1.1e-13,440,2.2e-05,-28.37,7.66,0.001596
1.1e-13,440,2.3e-05,-30.02,7.763,0.001583
1.1e-13,440,2.4e-05,-32.82,7.873,0.001557
1.1e-13,440,2.5e-05,-34.65,7.99,0.001535
1.1e-13,440,2.6e-05,-33.7,8.116,0.001517
1.1e-13,440,2.7e-05,-31.75,8.25,0.001484
1.1e-13,440,2.8e-05,-29.61,8.395,0.00148
1.1e-13,440,2.9e-05,-28.03,8.551,0.001455
1.1e-13,440,3e-05,-26.42,8.718,0.001422
1.1e-13,450,2e-05,-24.4,7.454,0.001634
1.1e-13,450,1.2e-05,-0.362,7.065,0.001733
1.1e-13,450,1.3e-05,-3.462,7.071,0.001731
1.1e-13,450,1.4e-05,-12.73,7.093,0.001722
1.1e-13,450,1.5e-05,-19.12,7.129,0.001713
1.1e-13,450,1.6e-05,-19.77,7.176,0.001699
1.1e-13,450,1.7e-05,-20.7,7.233,0.001687
1.1e-13,450,1.8e-05,-21.77,7.299,0.001672
1.1e-13,450,1.9e-05,-23.1,7.373,0.001654
1.1e-13,450,2.1e-05,-26.17,7.543,0.001619
1.1e-13,450,2.2e-05,-28.4,7.639,0.001599
1.1e-13,450,2.3e-05,-30.03,7.741,0.001583
1.1e-13,450,2.4e-05,-32.82,7.851,0.001556
1.1e-13,450,2.5e-05,-34.59,7.969,0.001546
1.1e-13,450,2.6e-05,-33.61,8.094,0.001522
1.1e-13,450,2.7e-05,-31.67,8.229,0.001487
1.1e-13,450,2.8e-05,-29.55,8.374,0.001488
1.1e-13,450,2.9e-05,-27.98,8.529,0.001461
1.1e-13,450,3e-05,-26.39,8.696,0.001425
1.1e-13,460,2e-05,-24.42,7.433,0.00164
1.1e-13,460,1.2e-05,-0.369,7.041,0.001725
1.1e-13,460,1.3e-05,-3.468,7.048,0.001731
1.1e-13,460,1.4e-05,-12.72,7.07,0.001725
1.1e-13,460,1.5e-05,-19.13,7.106,0.001713
1.1e-13,460,1.6e-05,-19.79,7.154,0.001706
1.1e-13,460,1.7e-05,-20.72,7.211,0.00169
1.1e-13,460,1.8e-05,-21.79,7.277,0.001676
1.1e-13,460,1.9e-05,-23.12,7.352,0.001653
1.1e-13,460,2.1e-05,-26.19,7.522,0.001622
1.1e-13,460,2.2e-05,-28.43,7.618,0.001607
1.1e-13,460,2.3e-05,-30.06,7.721,0.001585
1.1e-13,460,2.4e-05,-32.82,7.831,0.001561
1.1e-13,460,2.5e-05,-34.54,7.948,0.001543
1.1e-13,460,2.6e-05,-33.52,8.074,0.001527
1.1e-13,460,2.7e-05,-31.6,8.208,0.001489
1.1e-13,460,2.8e-05,-29.5,8.353,0.001484
1.1e-13,460,2.9e-05,-27.94,8.508,0.001468
1.1e-13,460,3e-05,-26.35,8.675,0.001426
1.1e-13,470,2e-05,-24.44,7.413,0.001642
1.1e-13,470,1.2e-05,-0.376,7.018,0.001733
1.1e-13,470,1.3e-05,-3.473,7.025,0.001735
1.1e-13,470,1.4e-05,-12.71,7.048,0.00173
1.1e-13,470,1.5e-05,-19.15,7.085,0.001717
1.1e-13,470,1.6e-05,-19.8,7.133,0.001706
1.1e-13,470,1.7e-05,-20.73,7.19,0.001692
1.1e-13,470,1.8e-05,-21.81,7.257,0.00168
1.1e-13,470,1.9e-05,-23.14,7.331,0.001659
1.1e-13,470,2.1e-05,-26.22,7.502,0.001625
1.1e-13,470,2.2e-05,-28.46,7.598,0.001601
1.1e-13,470,2.3e-05,-30.08,7.701,0.001586
1.1e-13,470,2.4e-05,-32.81,7.811,0.001566
1.1e-13,470,2.5e-05,-34.48,7.928,0.001542
1.1e-13,470,2.6e-05,-33.44,8.054,0.001526
1.1e-13,470,2.7e-05,-31.53,8.188,0.001492
1.1e-13,470,2.8e-05,-29.44,8.333,0.00149
1.1e-13,470,2.9e-05,-27.9,8.488,0.001469
1.1e-13,470,3e-05,-26.32,8.655,0.001429
1.1e-13,480,2e-05,-24.46,7.393,0.001643
1.1e-13,480,1.2e-05,-0.382,6.996,0.001738
1.1e-13,480,1.3e-05,-3.478,7.004,0.001742
1.1e-13,480,1.4e-05,-12.71,7.027,0.001733
1.1e-13,480,1.5e-05,-19.16,7.064,0.001721
1.1e-13,480,1.6e-05,-19.81,7.112,0.001709
1.1e-13,480,1.7e-05,-20.75,7.17,0.001697
1.1e-13,480,1.8e-05,-21.83,7.237,0.001677
1.1e-13,480,1.9e-05,-23.16,7.311,0.001663
1.1e-13,480,2.1e-05,-26.24,7.482,0.001629
1.1e-13,480,2.2e-05,-28.48,7.578,0.001609
1.1e-13,480,2.3e-05,-30.09,7.681,0.001591
1.1e-13,480,2.4e-05,-32.81,7.792,0.001571
1.1e-13,480,2.5e-05,-34.43,7.909,0.001551
1.1e-13,480,2.6e-05,-33.36,8.035,0.001525
1.1e-13,480,2.7e-05,-31.47,8.169,0.001494
1.1e-13,480,2.8e-05,-29.39,8.313,0.001493
1.1e-13,480,2.9e-05,-27.87,8.469,0.001466
1.1e-13,480,3e-05,-26.29,8.635,0.001429
1.1e-13,490,2e-05,-24.48,7.374,0.001642
1.1e-13,490,1.2e-05,-0.389,6.975,0.001734
1.1e-13,490,1.3e-05,-3.483,6.983,0.001744
1.1e-13,490,1.4e-05,-12.7,7.007,0.001734
1.1e-13,490,1.5e-05,-19.18,7.044,0.001723
1.1e-13,490,1.6e-05,-19.83,7.093,0.001712
1.1e-13,490,1.7e-05,-20.76,7.151,0.001698
1.1e-13,490,1.8e-05,-21.85,7.217,0.001683
1.1e-13,490,1.9e-05,-23.18,7.292,0.001666
1.1e-13,490,2.1e-05,-26.26,7.464,0.001629
1.1e-13,490,2.2e-05,-28.51,7.56,0.001614
1.1e-13,490,2.3e-05,-30.11,7.663,0.001589
1.1e-13,490,2.4e-05,-32.8,7.773,0.001569
1.1e-13,490,2.5e-05,-34.38,7.89,0.001555
1.1e-13,490,2.6e-05,-33.28,8.016,0.001529
1.1e-13,490,2.7e-05,-31.4,8.151,0.001497
1.1e-13,490,2.8e-05,-29.35,8.295,0.001493
1.1e-13,490,2.9e-05,-27.83,8.45,0.001471
1.1e-13,490,3e-05,-26.26,8.617,0.001433
1.1e-13,500,2e-05,-24.5,7.356,0.001645
1.1e-13,500,1.2e-05,-0.395,6.954,0.001748
1.1e-13,500,1.3e-05,-3.488,6.963,0.001744
1.1e-13,500,1.4e-05,-12.7,6.987,0.001736
1.1e-13,500,1.5e-05,-19.19,7.025,0.001725
1.1e-13,500,1.6e-05,-19.84,7.073,0.001715
1.1e-13,500,1.7e-05,-20.78,7.132,0.0017
1.1e-13,500,1.8e-05,-21.87,7.199,0.001687
1.1e-13,500,1.9e-05,-23.2,7.274,0.001666
1.1e-13,500,2.1e-05,-26.28,7.446,0.001635
