C,R,WN,ConversionGain,NoiseFigure,VoltageSwing
1e-12,26000.0,1.9e-05,-7.54,7.315,0.0335
1e-12,26000.0,1.95e-05,-7.46,7.188,0.0338
1e-12,26000.0,2e-05,-7.37,7.072,0.0341
1e-12,26000.0,2.1e-05,-7.19,6.858,0.0346
1e-12,26000.0,2.15e-05,-7.09,6.755,0.0348
1e-12,26000.0,2.2e-05,-6.97,6.619,0.035
1e-12,26000.0,2.3e-05,-6.77,6.438,0.0353
1e-12,26000.0,2.35e-05,-6.67,6.355,0.0354
1e-12,26000.0,2.45e-05,-6.47,6.209,0.0355
1e-12,26000.0,2.5e-05,-6.37,6.147,0.0356
1e-12,26000.0,2.55e-05,-6.28,6.094,0.0356
1e-12,26000.0,2.6e-05,-6.18,6.049,0.0355
1e-12,26000.0,2.75e-05,-5.93,5.974,0.0356
1e-12,26000.0,2.8e-05,-5.86,5.968,0.0356
1e-12,26000.0,2.85e-05,-5.8,5.968,0.0357
1e-12,26000.0,2.95e-05,-5.73,5.979,0.0358
1e-12,27000.0,1e-05,-9.11,8.73,0.0217
1e-12,27000.0,5e-06,-9.92,9.006,0.0115
1e-12,27000.0,5.5e-06,-9.68,8.891,0.0126
1e-12,27000.0,6e-06,-9.51,8.813,0.0137
1e-12,27000.0,6.5e-06,-9.41,8.774,0.0147
1e-12,27000.0,7e-06,-9.36,8.772,0.0158
1e-12,27000.0,7.5e-06,-9.32,8.741,0.0168
1e-12,27000.0,8e-06,-9.31,8.775,0.0178
1e-12,27000.0,8.5e-06,-9.3,8.797,0.0188
1e-12,27000.0,9e-06,-9.27,8.799,0.0198
1e-12,27000.0,9.5e-06,-9.21,8.778,0.0208
1e-12,27000.0,1.05e-05,-8.9,8.642,0.0227
1e-12,27000.0,1.1e-05,-8.7,8.53,0.0235
1e-12,27000.0,1.15e-05,-8.62,8.37,0.0244
1e-12,27000.0,1.2e-05,-8.65,8.354,0.0252
1e-12,27000.0,1.25e-05,-8.71,8.377,0.026
1e-12,27000.0,1.3e-05,-8.75,8.397,0.0268
1e-12,27000.0,1.35e-05,-8.75,8.387,0.0276
1e-12,27000.0,1.4e-05,-8.71,8.338,0.0283
1e-12,27000.0,1.45e-05,-8.63,8.256,0.029
1e-12,27000.0,1.5e-05,-8.53,8.153,0.0296
1e-12,27000.0,1.55e-05,-8.43,7.991,0.0302
1e-12,27000.0,1.6e-05,-8.33,7.902,0.0308
1e-12,27000.0,1.65e-05,-8.21,7.826,0.0313
1e-12,27000.0,1.7e-05,-8.03,7.748,0.0318
1e-12,27000.0,1.75e-05,-7.85,7.67,0.0323
1e-12,27000.0,1.8e-05,-7.72,7.576,0.0327
1e-12,27000.0,1.85e-05,-7.62,7.451,0.0331
1e-12,27000.0,1.9e-05,-7.54,7.314,0.0335
1e-12,27000.0,1.95e-05,-7.46,7.187,0.0338
1e-12,27000.0,2e-05,-7.37,7.071,0.0341
1e-12,27000.0,2.05e-05,-7.28,6.963,0.0344
1e-12,27000.0,2.15e-05,-7.09,6.754,0.0348
1e-12,27000.0,2.2e-05,-6.97,6.618,0.035
1e-12,27000.0,2.25e-05,-6.88,6.525,0.0352
1e-12,27000.0,2.3e-05,-6.77,6.437,0.0353
1e-12,27000.0,2.35e-05,-6.67,6.354,0.0354
1e-12,27000.0,2.4e-05,-6.57,6.278,0.0355
1e-12,27000.0,2.45e-05,-6.47,6.208,0.0355
1e-12,27000.0,2.5e-05,-6.37,6.146,0.0356
1e-12,27000.0,2.55e-05,-6.27,6.093,0.0356
1e-12,27000.0,2.6e-05,-6.18,6.048,0.0355
1e-12,27000.0,2.65e-05,-6.09,6.013,0.0355
1e-12,27000.0,2.7e-05,-6.01,5.988,0.0355
1e-12,27000.0,2.75e-05,-5.93,5.973,0.0356
1e-12,27000.0,2.8e-05,-5.86,5.967,0.0356
1e-12,27000.0,2.9e-05,-5.76,5.972,0.0357
1e-12,27000.0,2.95e-05,-5.73,5.978,0.0358
1e-12,28000.0,1e-05,-9.11,8.729,0.0217
1e-12,28000.0,5e-06,-9.92,9.004,0.0115
1e-12,28000.0,5.5e-06,-9.68,8.89,0.0126
1e-12,28000.0,6e-06,-9.51,8.811,0.0137
1e-12,28000.0,6.5e-06,-9.41,8.773,0.0147
1e-12,28000.0,7e-06,-9.36,8.771,0.0158
1e-12,28000.0,7.5e-06,-9.32,8.74,0.0168
1e-12,28000.0,8e-06,-9.31,8.774,0.0178
1e-12,28000.0,8.5e-06,-9.3,8.796,0.0188
1e-12,28000.0,9e-06,-9.27,8.798,0.0198
1e-12,28000.0,9.5e-06,-9.21,8.777,0.0208
1e-12,28000.0,1.05e-05,-8.9,8.641,0.0227
1e-12,28000.0,1.1e-05,-8.7,8.529,0.0235
1e-12,28000.0,1.15e-05,-8.62,8.369,0.0244
1e-12,28000.0,1.2e-05,-8.65,8.353,0.0252
1e-12,28000.0,1.25e-05,-8.71,8.376,0.026
1e-12,28000.0,1.3e-05,-8.75,8.396,0.0268
1e-12,28000.0,1.35e-05,-8.75,8.386,0.0276
1e-12,28000.0,1.4e-05,-8.71,8.337,0.0283
1e-12,28000.0,1.5e-05,-8.52,8.152,0.0296
1e-12,28000.0,1.55e-05,-8.42,7.99,0.0302
1e-12,28000.0,1.6e-05,-8.33,7.901,0.0308
1e-12,28000.0,1.65e-05,-8.21,7.825,0.0313
1e-12,28000.0,1.7e-05,-8.03,7.747,0.0318
1e-12,28000.0,1.75e-05,-7.85,7.669,0.0323
1e-12,28000.0,1.8e-05,-7.71,7.575,0.0327
1e-12,28000.0,1.85e-05,-7.62,7.45,0.0331
1e-12,28000.0,1.9e-05,-7.54,7.313,0.0335
1e-12,28000.0,1.95e-05,-7.46,7.186,0.0338
1e-12,28000.0,2e-05,-7.37,7.07,0.0341
1e-12,28000.0,2.05e-05,-7.28,6.962,0.0344
1e-12,28000.0,2.1e-05,-7.19,6.857,0.0346
1e-12,28000.0,2.15e-05,-7.09,6.753,0.0348
1e-12,28000.0,2.25e-05,-6.88,6.524,0.0352
1e-12,28000.0,2.3e-05,-6.77,6.436,0.0353
1e-12,28000.0,2.35e-05,-6.67,6.353,0.0354
1e-12,28000.0,2.4e-05,-6.57,6.277,0.0355
1e-12,28000.0,2.45e-05,-6.47,6.207,0.0355
1e-12,28000.0,2.5e-05,-6.37,6.146,0.0355
1e-12,28000.0,2.55e-05,-6.27,6.092,0.0356
1e-12,28000.0,2.6e-05,-6.18,6.047,0.0355
1e-12,28000.0,2.65e-05,-6.09,6.012,0.0355
1e-12,28000.0,2.7e-05,-6.01,5.987,0.0355
1e-12,28000.0,2.85e-05,-5.8,5.967,0.0357
1e-12,28000.0,2.9e-05,-5.76,5.971,0.0357
1e-12,29000.0,1e-05,-9.11,8.728,0.0217
1e-12,29000.0,5e-06,-9.92,9.003,0.0115
1e-12,29000.0,5.5e-06,-9.68,8.888,0.0126
1e-12,29000.0,6e-06,-9.51,8.81,0.0137
1e-12,29000.0,6.5e-06,-9.41,8.772,0.0147
1e-12,29000.0,7e-06,-9.36,8.769,0.0158
1e-12,29000.0,7.5e-06,-9.32,8.739,0.0168
1e-12,29000.0,8e-06,-9.31,8.773,0.0178
1e-12,29000.0,8.5e-06,-9.3,8.795,0.0188
1e-12,29000.0,9e-06,-9.27,8.797,0.0198
1e-12,29000.0,9.5e-06,-9.21,8.776,0.0208
1e-12,29000.0,1.1e-05,-8.7,8.528,0.0235
1e-12,29000.0,1.15e-05,-8.62,8.368,0.0244
1e-12,29000.0,1.25e-05,-8.71,8.375,0.026
1e-12,29000.0,1.3e-05,-8.75,8.395,0.0268
1e-12,29000.0,1.35e-05,-8.75,8.385,0.0276
1e-12,29000.0,1.4e-05,-8.7,8.337,0.0283
1e-12,29000.0,1.45e-05,-8.63,8.255,0.029
1e-12,29000.0,1.55e-05,-8.42,7.989,0.0302
1e-12,29000.0,1.6e-05,-8.33,7.9,0.0308
1e-12,29000.0,1.65e-05,-8.21,7.824,0.0313
1e-12,29000.0,1.8e-05,-7.71,7.574,0.0327
1e-12,29000.0,1.85e-05,-7.62,7.449,0.0331
1e-12,29000.0,1.95e-05,-7.46,7.185,0.0338
1e-12,29000.0,2.05e-05,-7.28,6.961,0.0344
1e-12,29000.0,2.1e-05,-7.19,6.856,0.0346
1e-12,29000.0,2.15e-05,-7.08,6.752,0.0348
1e-12,29000.0,2.2e-05,-6.97,6.617,0.035
1e-12,29000.0,2.25e-05,-6.87,6.523,0.0352
1e-12,29000.0,2.3e-05,-6.77,6.435,0.0353
1e-12,29000.0,2.4e-05,-6.57,6.276,0.0355
1e-12,29000.0,2.5e-05,-6.37,6.145,0.0356
1e-12,29000.0,2.55e-05,-6.27,6.091,0.0356
1e-12,29000.0,2.65e-05,-6.09,6.011,0.0355
1e-12,29000.0,2.7e-05,-6.01,5.986,0.0355
1e-12,29000.0,2.75e-05,-5.93,5.972,0.0356
1e-12,29000.0,2.8e-05,-5.86,5.966,0.0356
1e-12,29000.0,2.85e-05,-5.8,5.966,0.0357
1e-12,29000.0,2.95e-05,-5.73,5.977,0.0358
1e-12,30000.0,1e-05,-9.11,8.727,0.0217
1e-12,30000.0,5e-06,-9.92,9.001,0.0115
1e-12,30000.0,5.5e-06,-9.68,8.887,0.0126
1e-12,30000.0,6e-06,-9.51,8.809,0.0137
1e-12,30000.0,6.5e-06,-9.41,8.771,0.0147
1e-12,30000.0,7e-06,-9.35,8.768,0.0158
1e-12,30000.0,7.5e-06,-9.31,8.738,0.0168
1e-12,30000.0,8e-06,-9.31,8.772,0.0178
1e-12,30000.0,8.5e-06,-9.3,8.794,0.0188
1e-12,30000.0,9e-06,-9.27,8.796,0.0198
1e-12,30000.0,9.5e-06,-9.21,8.775,0.0208
1e-12,30000.0,1.05e-05,-8.9,8.64,0.0227
1e-12,30000.0,1.1e-05,-8.7,8.527,0.0235
1e-12,30000.0,1.15e-05,-8.62,8.367,0.0244
1e-12,30000.0,1.2e-05,-8.65,8.352,0.0252
1e-12,30000.0,1.25e-05,-8.71,8.374,0.026
1e-12,30000.0,1.3e-05,-8.75,8.394,0.0268
1e-12,30000.0,1.4e-05,-8.7,8.336,0.0283
1e-12,30000.0,1.45e-05,-8.63,8.254,0.029
1e-12,30000.0,1.5e-05,-8.52,8.151,0.0296
1e-12,30000.0,1.7e-05,-8.03,7.746,0.0318
1e-12,30000.0,1.75e-05,-7.85,7.668,0.0323
1e-12,30000.0,1.9e-05,-7.54,7.312,0.0335
1e-12,30000.0,2e-05,-7.37,7.069,0.0341
1e-12,30000.0,2.2e-05,-6.97,6.616,0.035
1e-12,30000.0,2.35e-05,-6.67,6.352,0.0354
1e-12,30000.0,2.45e-05,-6.47,6.206,0.0355
1e-12,30000.0,2.5e-05,-6.37,6.144,0.0356
1e-12,30000.0,2.6e-05,-6.18,6.046,0.0355
1e-12,30000.0,2.75e-05,-5.93,5.971,0.0356
1e-12,30000.0,2.8e-05,-5.86,5.965,0.0356
1e-12,30000.0,2.9e-05,-5.75,5.97,0.0357
1e-12,30000.0,2.95e-05,-5.72,5.976,0.0358
2e-12,5000.0,1e-05,-9.08,8.649,0.0116
2e-12,5000.0,5e-06,-9.94,9.062,0.00627
2e-12,5000.0,5.5e-06,-9.69,8.914,0.00683
2e-12,5000.0,6e-06,-9.49,8.792,0.00738
2e-12,5000.0,6.5e-06,-9.35,8.713,0.00793
2e-12,5000.0,7e-06,-9.28,8.684,0.00848
2e-12,5000.0,7.5e-06,-9.26,8.695,0.00901
2e-12,5000.0,8e-06,-9.26,8.725,0.00953
2e-12,5000.0,8.5e-06,-9.23,8.698,0.0101
2e-12,5000.0,9e-06,-9.21,8.7,0.0106
2e-12,5000.0,9.5e-06,-9.17,8.687,0.0111
2e-12,5000.0,1.05e-05,-8.89,8.572,0.012
2e-12,5000.0,1.1e-05,-8.7,8.462,0.0125
2e-12,5000.0,1.15e-05,-8.57,8.322,0.0129
2e-12,5000.0,1.2e-05,-8.52,8.23,0.0134
2e-12,5000.0,1.25e-05,-8.56,8.219,0.0138
2e-12,5000.0,1.3e-05,-8.59,8.2,0.0142
2e-12,5000.0,1.35e-05,-8.61,8.2,0.0146
2e-12,5000.0,1.4e-05,-8.6,8.171,0.015
2e-12,5000.0,1.45e-05,-8.54,8.11,0.0153
2e-12,5000.0,1.5e-05,-8.46,8.023,0.0157
2e-12,5000.0,1.55e-05,-8.36,7.918,0.016
2e-12,5000.0,1.6e-05,-8.23,7.807,0.0163
2e-12,5000.0,1.65e-05,-8.07,7.702,0.0165
2e-12,5000.0,1.7e-05,-7.87,7.601,0.0168
2e-12,5000.0,1.75e-05,-7.68,7.511,0.017
2e-12,5000.0,1.8e-05,-7.54,7.413,0.0173
2e-12,5000.0,1.85e-05,-7.46,7.293,0.0175
2e-12,5000.0,1.9e-05,-7.37,7.128,0.0177
2e-12,5000.0,1.95e-05,-7.3,7.013,0.0179
2e-12,5000.0,2e-05,-7.23,6.911,0.018
2e-12,5000.0,2.05e-05,-7.15,6.815,0.0182
2e-12,5000.0,2.1e-05,-7.06,6.723,0.0183
2e-12,5000.0,2.15e-05,-6.97,6.633,0.0184
2e-12,5000.0,2.2e-05,-6.87,6.546,0.0185
2e-12,5000.0,2.25e-05,-6.78,6.461,0.0186
2e-12,5000.0,2.3e-05,-6.69,6.383,0.0187
2e-12,5000.0,2.35e-05,-6.6,6.311,0.0188
2e-12,5000.0,2.4e-05,-6.51,6.244,0.0189
2e-12,5000.0,2.45e-05,-6.42,6.184,0.0189
2e-12,5000.0,2.5e-05,-6.33,6.131,0.019
2e-12,5000.0,2.55e-05,-6.24,6.085,0.0191
2e-12,5000.0,2.6e-05,-6.15,6.047,0.0191
2e-12,5000.0,2.65e-05,-6.07,6.016,0.0192
2e-12,5000.0,2.7e-05,-5.99,5.977,0.0193
2e-12,5000.0,2.75e-05,-5.92,5.966,0.0193
2e-12,5000.0,2.8e-05,-5.86,5.963,0.0194
2e-12,5000.0,2.85e-05,-5.8,5.968,0.0194
2e-12,5000.0,2.9e-05,-5.77,5.976,0.0194
2e-12,5000.0,2.95e-05,-5.74,5.986,0.0195
2e-12,1000.0,1e-05,-9.49,9.185,0.0115
2e-12,1000.0,5e-06,-10.42,9.872,0.00621
2e-12,1000.0,5.5e-06,-10.15,9.674,0.00678
2e-12,1000.0,6e-06,-9.95,9.511,0.00733
2e-12,1000.0,6.5e-06,-9.8,9.399,0.00788
2e-12,1000.0,7e-06,-9.72,9.34,0.00842
2e-12,1000.0,7.5e-06,-9.69,9.325,0.00896
2e-12,1000.0,8e-06,-9.69,9.333,0.00948
2e-12,1000.0,8.5e-06,-9.65,9.285,0.01
2e-12,1000.0,9e-06,-9.63,9.269,0.0105
2e-12,1000.0,9.5e-06,-9.58,9.239,0.011
2e-12,1000.0,1.05e-05,-9.3,9.091,0.012
2e-12,1000.0,1.1e-05,-9.11,8.967,0.0124
2e-12,1000.0,1.15e-05,-8.97,8.818,0.0129
2e-12,1000.0,1.2e-05,-8.92,8.722,0.0133
2e-12,1000.0,1.25e-05,-8.95,8.704,0.0138
2e-12,1000.0,1.3e-05,-8.98,8.677,0.0142
2e-12,1000.0,1.35e-05,-9.0,8.668,0.0145
2e-12,1000.0,1.4e-05,-8.98,8.63,0.0149
2e-12,1000.0,1.45e-05,-8.92,8.562,0.0153
2e-12,1000.0,1.5e-05,-8.83,8.469,0.0156
2e-12,1000.0,1.55e-05,-8.73,8.36,0.0159
2e-12,1000.0,1.6e-05,-8.6,8.245,0.0162
2e-12,1000.0,1.65e-05,-8.44,8.136,0.0165
2e-12,1000.0,1.7e-05,-8.24,8.03,0.0167
2e-12,1000.0,1.75e-05,-8.05,7.935,0.017
2e-12,1000.0,1.8e-05,-7.91,7.835,0.0172
2e-12,1000.0,1.85e-05,-7.83,7.715,0.0174
2e-12,1000.0,1.9e-05,-7.74,7.553,0.0176
2e-12,1000.0,1.95e-05,-7.67,7.437,0.0178
2e-12,1000.0,2e-05,-7.6,7.334,0.018
2e-12,1000.0,2.05e-05,-7.51,7.236,0.0181
2e-12,1000.0,2.1e-05,-7.42,7.141,0.0182
2e-12,1000.0,2.15e-05,-7.33,7.05,0.0184
2e-12,1000.0,2.2e-05,-7.23,6.962,0.0185
2e-12,1000.0,2.25e-05,-7.15,6.876,0.0186
2e-12,1000.0,2.3e-05,-7.05,6.797,0.0187
2e-12,1000.0,2.35e-05,-6.96,6.724,0.0187
2e-12,1000.0,2.4e-05,-6.87,6.657,0.0188
2e-12,1000.0,2.45e-05,-6.78,6.597,0.0188
2e-12,1000.0,2.5e-05,-6.69,6.543,0.0189
2e-12,1000.0,2.55e-05,-6.61,6.497,0.019
2e-12,1000.0,2.6e-05,-6.52,6.457,0.0191
2e-12,1000.0,2.65e-05,-6.44,6.425,0.0192
2e-12,1000.0,2.7e-05,-6.36,6.384,0.0192
2e-12,1000.0,2.75e-05,-6.29,6.37,0.0193
2e-12,1000.0,2.8e-05,-6.23,6.363,0.0193
2e-12,1000.0,2.85e-05,-6.18,6.363,0.0193
2e-12,1000.0,2.9e-05,-6.14,6.368,0.0194
2e-12,1000.0,2.95e-05,-6.11,6.375,0.0194
2e-12,2000.0,1e-05,-9.24,8.858,0.0115
2e-12,2000.0,5e-06,-10.12,9.384,0.00625
2e-12,2000.0,5.5e-06,-9.86,9.215,0.00681
2e-12,2000.0,6e-06,-9.66,9.076,0.00736
2e-12,2000.0,6.5e-06,-9.52,8.983,0.00791
2e-12,2000.0,7e-06,-9.45,8.942,0.00845
2e-12,2000.0,7.5e-06,-9.42,8.942,0.00899
2e-12,2000.0,8e-06,-9.42,8.963,0.00951
2e-12,2000.0,8.5e-06,-9.39,8.927,0.01
2e-12,2000.0,9e-06,-9.37,8.923,0.0105
2e-12,2000.0,9.5e-06,-9.33,8.902,0.011
2e-12,2000.0,1.05e-05,-9.05,8.774,0.012
2e-12,2000.0,1.1e-05,-8.86,8.659,0.0125
2e-12,2000.0,1.15e-05,-8.72,8.515,0.0129
2e-12,2000.0,1.2e-05,-8.68,8.421,0.0134
2e-12,2000.0,1.25e-05,-8.71,8.407,0.0138
2e-12,2000.0,1.3e-05,-8.74,8.385,0.0142
2e-12,2000.0,1.35e-05,-8.76,8.381,0.0146
2e-12,2000.0,1.4e-05,-8.74,8.349,0.0149
2e-12,2000.0,1.45e-05,-8.69,8.285,0.0153
2e-12,2000.0,1.5e-05,-8.6,8.195,0.0156
2e-12,2000.0,1.55e-05,-8.5,8.089,0.0159
2e-12,2000.0,1.6e-05,-8.37,7.976,0.0162
2e-12,2000.0,1.65e-05,-8.21,7.87,0.0165
2e-12,2000.0,1.7e-05,-8.01,7.767,0.0168
2e-12,2000.0,1.75e-05,-7.82,7.675,0.017
2e-12,2000.0,1.8e-05,-7.68,7.576,0.0172
2e-12,2000.0,1.85e-05,-7.6,7.456,0.0175
2e-12,2000.0,1.9e-05,-7.51,7.292,0.0176
2e-12,2000.0,1.95e-05,-7.44,7.177,0.0178
2e-12,2000.0,2e-05,-7.37,7.074,0.018
2e-12,2000.0,2.05e-05,-7.29,6.977,0.0181
2e-12,2000.0,2.1e-05,-7.2,6.884,0.0183
2e-12,2000.0,2.15e-05,-7.11,6.794,0.0184
2e-12,2000.0,2.2e-05,-7.01,6.707,0.0185
2e-12,2000.0,2.25e-05,-6.92,6.622,0.0186
2e-12,2000.0,2.3e-05,-6.83,6.543,0.0187
2e-12,2000.0,2.35e-05,-6.74,6.471,0.0188
2e-12,2000.0,2.4e-05,-6.64,6.404,0.0188
2e-12,2000.0,2.45e-05,-6.55,6.343,0.0189
2e-12,2000.0,2.5e-05,-6.47,6.29,0.019
2e-12,2000.0,2.55e-05,-6.38,6.244,0.019
2e-12,2000.0,2.6e-05,-6.29,6.205,0.0191
2e-12,2000.0,2.65e-05,-6.21,6.174,0.0192
2e-12,2000.0,2.7e-05,-6.13,6.134,0.0193
2e-12,2000.0,2.75e-05,-6.06,6.122,0.0193
2e-12,2000.0,2.8e-05,-6.0,6.118,0.0193
2e-12,2000.0,2.85e-05,-5.95,6.12,0.0194
2e-12,2000.0,2.9e-05,-5.91,6.127,0.0194
2e-12,2000.0,2.95e-05,-5.88,6.136,0.0194
2e-12,3000.0,1e-05,-9.15,8.743,0.0115
2e-12,3000.0,5e-06,-10.02,9.208,0.00626
2e-12,3000.0,5.5e-06,-9.77,9.05,0.00682
2e-12,3000.0,6e-06,-9.56,8.92,0.00738
2e-12,3000.0,6.5e-06,-9.43,8.835,0.00792
2e-12,3000.0,7e-06,-9.35,8.8,0.00847
2e-12,3000.0,7.5e-06,-9.33,8.806,0.009
2e-12,3000.0,8e-06,-9.33,8.833,0.00953
2e-12,3000.0,8.5e-06,-9.3,8.801,0.01
2e-12,3000.0,9e-06,-9.28,8.801,0.0106
2e-12,3000.0,9.5e-06,-9.24,8.784,0.0111
2e-12,3000.0,1.05e-05,-8.96,8.663,0.012
2e-12,3000.0,1.1e-05,-8.77,8.551,0.0125
2e-12,3000.0,1.15e-05,-8.64,8.409,0.0129
2e-12,3000.0,1.2e-05,-8.59,8.316,0.0134
2e-12,3000.0,1.25e-05,-8.63,8.304,0.0138
2e-12,3000.0,1.3e-05,-8.66,8.283,0.0142
2e-12,3000.0,1.35e-05,-8.68,8.282,0.0146
2e-12,3000.0,1.4e-05,-8.66,8.251,0.015
2e-12,3000.0,1.45e-05,-8.61,8.188,0.0153
2e-12,3000.0,1.5e-05,-8.52,8.1,0.0156
2e-12,3000.0,1.55e-05,-8.42,7.995,0.016
2e-12,3000.0,1.6e-05,-8.29,7.883,0.0162
2e-12,3000.0,1.65e-05,-8.13,7.777,0.0165
2e-12,3000.0,1.7e-05,-7.93,7.676,0.0168
2e-12,3000.0,1.75e-05,-7.74,7.584,0.017
2e-12,3000.0,1.8e-05,-7.6,7.486,0.0173
2e-12,3000.0,1.85e-05,-7.52,7.366,0.0175
2e-12,3000.0,1.9e-05,-7.44,7.202,0.0177
2e-12,3000.0,1.95e-05,-7.37,7.087,0.0178
2e-12,3000.0,2e-05,-7.29,6.985,0.018
2e-12,3000.0,2.05e-05,-7.21,6.888,0.0182
2e-12,3000.0,2.1e-05,-7.12,6.795,0.0183
2e-12,3000.0,2.15e-05,-7.03,6.705,0.0184
2e-12,3000.0,2.2e-05,-6.93,6.618,0.0185
2e-12,3000.0,2.25e-05,-6.85,6.533,0.0186
2e-12,3000.0,2.3e-05,-6.75,6.455,0.0187
2e-12,3000.0,2.35e-05,-6.66,6.382,0.0188
2e-12,3000.0,2.4e-05,-6.57,6.316,0.0188
2e-12,3000.0,2.45e-05,-6.48,6.255,0.0189
2e-12,3000.0,2.5e-05,-6.39,6.202,0.019
2e-12,3000.0,2.55e-05,-6.3,6.156,0.0191
2e-12,3000.0,2.6e-05,-6.22,6.118,0.0191
2e-12,3000.0,2.65e-05,-6.14,6.087,0.0192
2e-12,3000.0,2.7e-05,-6.06,6.048,0.0193
2e-12,3000.0,2.75e-05,-5.98,6.036,0.0193
2e-12,3000.0,2.8e-05,-5.92,6.033,0.0194
2e-12,3000.0,2.85e-05,-5.87,6.036,0.0194
2e-12,3000.0,2.9e-05,-5.83,6.044,0.0194
2e-12,3000.0,2.95e-05,-5.81,6.053,0.0194
2e-12,4000.0,1e-05,-9.11,8.685,0.0115
2e-12,4000.0,5e-06,-9.97,9.117,0.00626
2e-12,4000.0,5.5e-06,-9.72,8.966,0.00683
2e-12,4000.0,6e-06,-9.51,8.84,0.00738
2e-12,4000.0,6.5e-06,-9.38,8.759,0.00793
2e-12,4000.0,7e-06,-9.31,8.728,0.00847
2e-12,4000.0,7.5e-06,-9.28,8.737,0.00901
2e-12,4000.0,8e-06,-9.29,8.766,0.00953
2e-12,4000.0,8.5e-06,-9.25,8.737,0.0101
2e-12,4000.0,9e-06,-9.24,8.738,0.0106
2e-12,4000.0,9.5e-06,-9.2,8.724,0.0111
2e-12,4000.0,1.05e-05,-8.92,8.606,0.012
2e-12,4000.0,1.1e-05,-8.73,8.496,0.0125
2e-12,4000.0,1.15e-05,-8.59,8.355,0.0129
2e-12,4000.0,1.2e-05,-8.55,8.263,0.0134
2e-12,4000.0,1.25e-05,-8.59,8.251,0.0138
2e-12,4000.0,1.3e-05,-8.62,8.231,0.0142
2e-12,4000.0,1.35e-05,-8.64,8.231,0.0146
2e-12,4000.0,1.4e-05,-8.62,8.201,0.015
2e-12,4000.0,1.45e-05,-8.57,8.139,0.0153
2e-12,4000.0,1.5e-05,-8.48,8.052,0.0156
2e-12,4000.0,1.55e-05,-8.39,7.947,0.016
2e-12,4000.0,1.6e-05,-8.25,7.835,0.0163
2e-12,4000.0,1.65e-05,-8.1,7.73,0.0165
2e-12,4000.0,1.7e-05,-7.9,7.629,0.0168
2e-12,4000.0,1.75e-05,-7.7,7.538,0.017
2e-12,4000.0,1.8e-05,-7.57,7.441,0.0173
2e-12,4000.0,1.85e-05,-7.48,7.32,0.0175
2e-12,4000.0,1.9e-05,-7.4,7.156,0.0177
2e-12,4000.0,1.95e-05,-7.33,7.041,0.0178
2e-12,4000.0,2e-05,-7.25,6.939,0.018
2e-12,4000.0,2.05e-05,-7.17,6.842,0.0182
2e-12,4000.0,2.1e-05,-7.08,6.75,0.0183
2e-12,4000.0,2.15e-05,-6.99,6.66,0.0184
2e-12,4000.0,2.2e-05,-6.9,6.573,0.0185
2e-12,4000.0,2.25e-05,-6.81,6.488,0.0186
2e-12,4000.0,2.3e-05,-6.71,6.41,0.0187
2e-12,4000.0,2.35e-05,-6.62,6.338,0.0188
2e-12,4000.0,2.4e-05,-6.53,6.271,0.0188
2e-12,4000.0,2.45e-05,-6.44,6.211,0.0189
2e-12,4000.0,2.5e-05,-6.35,6.158,0.019
2e-12,4000.0,2.55e-05,-6.26,6.112,0.0191
2e-12,4000.0,2.6e-05,-6.18,6.074,0.0191
2e-12,4000.0,2.65e-05,-6.1,6.043,0.0192
2e-12,4000.0,2.7e-05,-6.02,6.004,0.0193
2e-12,4000.0,2.75e-05,-5.95,5.993,0.0193
2e-12,4000.0,2.8e-05,-5.88,5.989,0.0194
2e-12,4000.0,2.85e-05,-5.83,5.993,0.0194
2e-12,4000.0,2.9e-05,-5.79,6.001,0.0194
2e-12,4000.0,2.95e-05,-5.77,6.011,0.0195
2e-12,6000.0,1e-05,-9.07,8.625,0.0116
2e-12,6000.0,5e-06,-9.92,9.025,0.00627
2e-12,6000.0,5.5e-06,-9.66,8.879,0.00683
2e-12,6000.0,6e-06,-9.47,8.759,0.00739
2e-12,6000.0,6.5e-06,-9.33,8.682,0.00794
2e-12,6000.0,7e-06,-9.26,8.654,0.00848
2e-12,6000.0,7.5e-06,-9.24,8.666,0.00901
2e-12,6000.0,8e-06,-9.24,8.698,0.00954
2e-12,6000.0,8.5e-06,-9.21,8.672,0.0101
2e-12,6000.0,9e-06,-9.19,8.675,0.0106
2e-12,6000.0,9.5e-06,-9.15,8.662,0.0111
2e-12,6000.0,1.05e-05,-8.88,8.549,0.012
2e-12,6000.0,1.1e-05,-8.69,8.44,0.0125
2e-12,6000.0,1.15e-05,-8.55,8.3,0.0129
2e-12,6000.0,1.2e-05,-8.51,8.209,0.0134
2e-12,6000.0,1.25e-05,-8.54,8.198,0.0138
2e-12,6000.0,1.3e-05,-8.58,8.179,0.0142
2e-12,6000.0,1.35e-05,-8.6,8.18,0.0146
2e-12,6000.0,1.4e-05,-8.58,8.151,0.015
2e-12,6000.0,1.45e-05,-8.53,8.09,0.0153
2e-12,6000.0,1.5e-05,-8.44,8.003,0.0157
2e-12,6000.0,1.55e-05,-8.35,7.898,0.016
2e-12,6000.0,1.6e-05,-8.22,7.787,0.0163
2e-12,6000.0,1.65e-05,-8.06,7.683,0.0165
2e-12,6000.0,1.7e-05,-7.86,7.582,0.0168
