L,Wn,Wvar,DCPowerConsumption,OscillationFrequency,TuningRange,OutputPower,PhaseNoise
2.4e-10,2.6e-05,1.6e-05,0.00884,28400000000.0,1640000000.0,1.873,-98.9
2.4e-10,2.6e-05,1.65e-05,0.00884,28400000000.0,1660000000.0,1.849,-99.88
2.4e-10,2.6e-05,1.7e-05,0.00884,28300000000.0,1680000000.0,1.813,-98.85
2.4e-10,2.6e-05,1.75e-05,0.00884,28200000000.0,1700000000.0,1.778,-99.38
2.4e-10,2.6e-05,1.8e-05,0.00884,28100000000.0,1710000000.0,1.738,-98.97
2.4e-10,2.6e-05,1.85e-05,0.00884,28100000000.0,1720000000.0,1.694,-98.47
2.4e-10,2.6e-05,1.9e-05,0.00884,28000000000.0,1730000000.0,1.659,-99.39
2.4e-10,2.6e-05,1.95e-05,0.00884,28000000000.0,1730000000.0,1.607,-98.94
2.4e-10,2.6e-05,2e-05,0.00884,27900000000.0,1740000000.0,1.562,-98.73
2.4e-10,2.6e-05,2.05e-05,0.00884,27800000000.0,1740000000.0,1.515,-98.97
2.4e-10,2.6e-05,2.1e-05,0.00884,27800000000.0,1740000000.0,1.459,-98.66
2.4e-10,2.6e-05,2.15e-05,0.00884,27700000000.0,1730000000.0,1.409,-99.08
2.4e-10,2.6e-05,2.2e-05,0.00884,27700000000.0,1720000000.0,1.348,-98.68
2.4e-10,2.6e-05,2.25e-05,0.00884,27700000000.0,1720000000.0,1.291,-98.77
2.4e-10,2.6e-05,2.3e-05,0.00884,27600000000.0,1710000000.0,1.222,-98.37
2.4e-10,2.6e-05,2.35e-05,0.00884,27600000000.0,1700000000.0,1.16,-98.34
2.4e-10,2.6e-05,2.4e-05,0.00884,27500000000.0,1690000000.0,1.107,-98.93
2.4e-10,2.6e-05,2.45e-05,0.00884,27500000000.0,1670000000.0,1.039,-98.77
2.4e-10,2.6e-05,2.5e-05,0.00884,27500000000.0,1650000000.0,0.968,-98.48
2.4e-10,2.6e-05,2.55e-05,0.00884,27400000000.0,1630000000.0,0.901,-98.57
2.4e-10,2.6e-05,2.6e-05,0.00884,27400000000.0,1610000000.0,0.839,-98.94
2.4e-10,2.6e-05,2.65e-05,0.00884,27400000000.0,1580000000.0,0.765,-98.03
2.4e-10,2.6e-05,2.7e-05,0.00884,27300000000.0,1560000000.0,0.695,-98.71
2.4e-10,2.6e-05,2.75e-05,0.00884,27300000000.0,1530000000.0,0.628,-98.75
2.4e-10,2.6e-05,2.8e-05,0.00884,27300000000.0,1500000000.0,0.56,-98.57
2.4e-10,2.6e-05,2.85e-05,0.00884,27300000000.0,1470000000.0,0.482,-98.43
2.4e-10,2.6e-05,2.9e-05,0.00884,27300000000.0,1440000000.0,0.411,-98.37
2.4e-10,2.6e-05,2.95e-05,0.00884,27200000000.0,1400000000.0,0.344,-98.0
2.4e-10,2.6e-05,3e-05,0.00884,27200000000.0,1370000000.0,0.269,-97.87
2.4e-10,2.65e-05,1e-05,0.00882,29300000000.0,1220000000.0,1.748,-99.81
2.4e-10,2.65e-05,5e-06,0.00882,30300000000.0,637000000.0,1.345,-95.15
2.4e-10,2.65e-05,5.5e-06,0.00882,30200000000.0,708000000.0,1.395,-96.93
2.4e-10,2.65e-05,6e-06,0.00882,30100000000.0,770000000.0,1.457,-96.8
2.4e-10,2.65e-05,6.5e-06,0.00882,30000000000.0,837000000.0,1.504,-97.75
2.4e-10,2.65e-05,7e-06,0.00882,29900000000.0,897000000.0,1.558,-97.86
2.4e-10,2.65e-05,7.5e-06,0.00882,29800000000.0,953000000.0,1.603,-98.1
2.4e-10,2.65e-05,8e-06,0.00882,29700000000.0,1010000000.0,1.639,-98.62
2.4e-10,2.65e-05,8.5e-06,0.00882,29600000000.0,1070000000.0,1.679,-98.65
2.4e-10,2.65e-05,9e-06,0.00882,29500000000.0,1130000000.0,1.697,-99.31
2.4e-10,2.65e-05,9.5e-06,0.00882,29400000000.0,1180000000.0,1.725,-100.2
2.4e-10,2.65e-05,1.05e-05,0.00882,29200000000.0,1270000000.0,1.767,-100.3
2.4e-10,2.65e-05,1.1e-05,0.00882,29100000000.0,1320000000.0,1.777,-100.2
2.4e-10,2.65e-05,1.15e-05,0.00882,29000000000.0,1360000000.0,1.775,-100.5
2.4e-10,2.65e-05,1.2e-05,0.00882,28900000000.0,1400000000.0,1.789,-100.6
2.4e-10,2.65e-05,1.25e-05,0.00882,28900000000.0,1440000000.0,1.778,-100.5
2.4e-10,2.65e-05,1.3e-05,0.00882,28800000000.0,1470000000.0,1.782,-100.7
2.4e-10,2.65e-05,1.35e-05,0.00882,28700000000.0,1510000000.0,1.768,-100.7
2.4e-10,2.65e-05,1.4e-05,0.00882,28600000000.0,1540000000.0,1.754,-100.3
2.4e-10,2.65e-05,1.45e-05,0.00882,28500000000.0,1570000000.0,1.749,-100.5
2.4e-10,2.65e-05,1.5e-05,0.00882,28400000000.0,1590000000.0,1.725,-100.3
2.4e-10,2.65e-05,1.55e-05,0.00882,28400000000.0,1620000000.0,1.709,-100.4
2.4e-10,2.65e-05,1.6e-05,0.00882,28300000000.0,1640000000.0,1.675,-100.0
2.4e-10,2.65e-05,1.65e-05,0.00882,28200000000.0,1660000000.0,1.651,-99.92
2.4e-10,2.65e-05,1.7e-05,0.00882,28100000000.0,1680000000.0,1.617,-99.54
2.4e-10,2.65e-05,1.75e-05,0.00882,28000000000.0,1690000000.0,1.583,-99.45
2.4e-10,2.65e-05,1.8e-05,0.00882,28000000000.0,1700000000.0,1.553,-100.0
2.4e-10,2.65e-05,1.85e-05,0.00882,27900000000.0,1720000000.0,1.517,-99.93
2.4e-10,2.65e-05,1.9e-05,0.00882,27900000000.0,1730000000.0,1.465,-99.2
2.4e-10,2.65e-05,1.95e-05,0.00882,27800000000.0,1730000000.0,1.431,-99.75
2.4e-10,2.65e-05,2e-05,0.00882,27700000000.0,1730000000.0,1.384,-99.78
2.4e-10,2.65e-05,2.05e-05,0.00882,27700000000.0,1740000000.0,1.335,-99.5
2.4e-10,2.65e-05,2.1e-05,0.00882,27600000000.0,1740000000.0,1.279,-99.56
2.4e-10,2.65e-05,2.15e-05,0.00882,27600000000.0,1740000000.0,1.232,-99.6
2.4e-10,2.65e-05,2.2e-05,0.00882,27500000000.0,1730000000.0,1.169,-99.36
2.4e-10,2.65e-05,2.25e-05,0.00882,27500000000.0,1730000000.0,1.116,-99.46
2.4e-10,2.65e-05,2.3e-05,0.00882,27400000000.0,1720000000.0,1.056,-99.39
2.4e-10,2.65e-05,2.35e-05,0.00882,27400000000.0,1710000000.0,0.996,-99.19
2.4e-10,2.65e-05,2.4e-05,0.00882,27400000000.0,1700000000.0,0.936,-99.29
2.4e-10,2.65e-05,2.45e-05,0.00882,27300000000.0,1680000000.0,0.876,-99.42
2.4e-10,2.65e-05,2.5e-05,0.00882,27300000000.0,1660000000.0,0.81,-99.22
2.4e-10,2.65e-05,2.55e-05,0.00882,27300000000.0,1640000000.0,0.745,-99.22
2.4e-10,2.65e-05,2.6e-05,0.00882,27200000000.0,1620000000.0,0.678,-99.15
2.4e-10,2.65e-05,2.65e-05,0.00882,27200000000.0,1600000000.0,0.606,-98.7
2.4e-10,2.65e-05,2.7e-05,0.00882,27200000000.0,1580000000.0,0.539,-98.84
2.4e-10,2.65e-05,2.75e-05,0.00882,27100000000.0,1550000000.0,0.473,-98.6
2.4e-10,2.65e-05,2.8e-05,0.00882,27100000000.0,1520000000.0,0.4,-97.95
2.4e-10,2.65e-05,2.85e-05,0.00882,27100000000.0,1490000000.0,0.333,-98.09
2.4e-10,2.65e-05,2.9e-05,0.00882,27100000000.0,1460000000.0,0.264,-97.76
2.4e-10,2.65e-05,2.95e-05,0.00882,27100000000.0,1430000000.0,0.193,-97.5
2.4e-10,2.65e-05,3e-05,0.00882,27000000000.0,1400000000.0,0.12,-97.45
2.4e-10,2.7e-05,1e-05,0.00879,29100000000.0,1200000000.0,1.535,-99.09
2.4e-10,2.7e-05,5e-06,0.00879,30100000000.0,614000000.0,1.119,-94.96
2.4e-10,2.7e-05,5.5e-06,0.00879,30000000000.0,681000000.0,1.183,-94.84
2.4e-10,2.7e-05,6e-06,0.00879,29900000000.0,745000000.0,1.238,-95.39
2.4e-10,2.7e-05,6.5e-06,0.00879,29800000000.0,808000000.0,1.294,-96.11
2.4e-10,2.7e-05,7e-06,0.00879,29700000000.0,872000000.0,1.34,-96.77
2.4e-10,2.7e-05,7.5e-06,0.00879,29600000000.0,932000000.0,1.387,-96.57
2.4e-10,2.7e-05,8e-06,0.00879,29500000000.0,988000000.0,1.419,-97.69
2.4e-10,2.7e-05,8.5e-06,0.00879,29400000000.0,1050000000.0,1.452,-98.3
2.4e-10,2.7e-05,9e-06,0.00879,29300000000.0,1100000000.0,1.493,-98.12
2.4e-10,2.7e-05,9.5e-06,0.00879,29200000000.0,1160000000.0,1.512,-98.72
2.4e-10,2.7e-05,1.05e-05,0.00879,29000000000.0,1250000000.0,1.554,-99.74
2.4e-10,2.7e-05,1.1e-05,0.00879,29000000000.0,1300000000.0,1.56,-99.56
2.4e-10,2.7e-05,1.15e-05,0.00879,28900000000.0,1340000000.0,1.578,-99.69
2.4e-10,2.7e-05,1.2e-05,0.00879,28800000000.0,1380000000.0,1.573,-100.2
2.4e-10,2.7e-05,1.25e-05,0.00879,28700000000.0,1420000000.0,1.576,-100.4
2.4e-10,2.7e-05,1.3e-05,0.00879,28600000000.0,1460000000.0,1.572,-100.5
2.4e-10,2.7e-05,1.35e-05,0.00879,28500000000.0,1490000000.0,1.569,-100.4
2.4e-10,2.7e-05,1.4e-05,0.00879,28400000000.0,1520000000.0,1.555,-100.5
2.4e-10,2.7e-05,1.45e-05,0.00879,28300000000.0,1560000000.0,1.543,-100.5
2.4e-10,2.7e-05,1.5e-05,0.00879,28300000000.0,1580000000.0,1.524,-100.4
2.4e-10,2.7e-05,1.55e-05,0.00879,28200000000.0,1610000000.0,1.511,-100.4
2.4e-10,2.7e-05,1.6e-05,0.00879,28100000000.0,1630000000.0,1.489,-100.5
2.4e-10,2.7e-05,1.65e-05,0.00879,28000000000.0,1650000000.0,1.461,-100.4
2.4e-10,2.7e-05,1.7e-05,0.00879,28000000000.0,1670000000.0,1.426,-100.2
2.4e-10,2.7e-05,1.75e-05,0.00879,27900000000.0,1690000000.0,1.394,-100.0
2.4e-10,2.7e-05,1.8e-05,0.00879,27800000000.0,1700000000.0,1.369,-100.3
2.4e-10,2.7e-05,1.85e-05,0.00879,27800000000.0,1710000000.0,1.325,-99.9
2.4e-10,2.7e-05,1.9e-05,0.00879,27700000000.0,1720000000.0,1.286,-99.87
2.4e-10,2.7e-05,1.95e-05,0.00879,27600000000.0,1730000000.0,1.242,-99.76
2.4e-10,2.7e-05,2e-05,0.00879,27600000000.0,1730000000.0,1.198,-99.75
2.4e-10,2.7e-05,2.05e-05,0.00879,27500000000.0,1740000000.0,1.157,-100.0
2.4e-10,2.7e-05,2.1e-05,0.00879,27500000000.0,1740000000.0,1.097,-99.65
2.4e-10,2.7e-05,2.15e-05,0.00879,27400000000.0,1740000000.0,1.055,-99.79
2.4e-10,2.7e-05,2.2e-05,0.00879,27400000000.0,1740000000.0,0.994,-99.65
2.4e-10,2.7e-05,2.25e-05,0.00879,27300000000.0,1730000000.0,0.94,-99.49
2.4e-10,2.7e-05,2.3e-05,0.00879,27300000000.0,1720000000.0,0.883,-99.46
2.4e-10,2.7e-05,2.35e-05,0.00879,27200000000.0,1720000000.0,0.825,-99.5
2.4e-10,2.7e-05,2.4e-05,0.00879,27200000000.0,1700000000.0,0.765,-99.36
2.4e-10,2.7e-05,2.45e-05,0.00879,27100000000.0,1690000000.0,0.707,-99.39
2.4e-10,2.7e-05,2.5e-05,0.00879,27100000000.0,1680000000.0,0.639,-99.16
2.4e-10,2.7e-05,2.55e-05,0.00879,27100000000.0,1660000000.0,0.577,-99.07
2.4e-10,2.7e-05,2.6e-05,0.00879,27000000000.0,1640000000.0,0.512,-98.9
2.4e-10,2.7e-05,2.65e-05,0.00879,27000000000.0,1620000000.0,0.445,-98.71
2.4e-10,2.7e-05,2.7e-05,0.00879,27000000000.0,1600000000.0,0.383,-98.61
2.4e-10,2.7e-05,2.75e-05,0.00879,27000000000.0,1570000000.0,0.312,-98.7
2.4e-10,2.7e-05,2.8e-05,0.00879,26900000000.0,1550000000.0,0.243,-97.9
2.4e-10,2.7e-05,2.85e-05,0.00879,26900000000.0,1520000000.0,0.177,-97.63
2.4e-10,2.7e-05,2.9e-05,0.00879,26900000000.0,1490000000.0,0.11,-97.14
2.4e-10,2.7e-05,2.95e-05,0.00879,26900000000.0,1460000000.0,0.04,-96.97
2.4e-10,2.7e-05,3e-05,0.00879,26900000000.0,1430000000.0,-0.03,-96.96
2.4e-10,2.75e-05,1e-05,0.00876,29000000000.0,1180000000.0,1.319,-97.97
2.4e-10,2.75e-05,5e-06,0.00876,29900000000.0,594000000.0,0.889,-94.15
2.4e-10,2.75e-05,5.5e-06,0.00876,29800000000.0,660000000.0,0.953,-94.68
2.4e-10,2.75e-05,6e-06,0.00876,29700000000.0,720000000.0,1.019,-94.17
2.4e-10,2.75e-05,6.5e-06,0.00876,29600000000.0,788000000.0,1.068,-94.94
2.4e-10,2.75e-05,7e-06,0.00876,29500000000.0,849000000.0,1.121,-95.56
2.4e-10,2.75e-05,7.5e-06,0.00876,29400000000.0,911000000.0,1.164,-96.12
2.4e-10,2.75e-05,8e-06,0.00876,29300000000.0,968000000.0,1.201,-94.67
2.4e-10,2.75e-05,8.5e-06,0.00876,29200000000.0,1030000000.0,1.247,-96.55
2.4e-10,2.75e-05,9e-06,0.00876,29100000000.0,1080000000.0,1.272,-97.06
2.4e-10,2.75e-05,9.5e-06,0.00876,29000000000.0,1130000000.0,1.297,-97.53
2.4e-10,2.75e-05,1.05e-05,0.00876,28900000000.0,1230000000.0,1.34,-98.38
2.4e-10,2.75e-05,1.1e-05,0.00876,28800000000.0,1280000000.0,1.357,-98.67
2.4e-10,2.75e-05,1.15e-05,0.00876,28700000000.0,1320000000.0,1.367,-99.03
2.4e-10,2.75e-05,1.2e-05,0.00876,28600000000.0,1360000000.0,1.374,-99.34
2.4e-10,2.75e-05,1.25e-05,0.00876,28500000000.0,1410000000.0,1.373,-99.59
2.4e-10,2.75e-05,1.3e-05,0.00876,28400000000.0,1440000000.0,1.375,-99.76
2.4e-10,2.75e-05,1.35e-05,0.00876,28300000000.0,1480000000.0,1.366,-99.92
2.4e-10,2.75e-05,1.4e-05,0.00876,28300000000.0,1510000000.0,1.357,-99.98
2.4e-10,2.75e-05,1.45e-05,0.00876,28200000000.0,1540000000.0,1.345,-100.2
2.4e-10,2.75e-05,1.5e-05,0.00876,28100000000.0,1570000000.0,1.331,-100.2
2.4e-10,2.75e-05,1.55e-05,0.00876,28000000000.0,1600000000.0,1.313,-100.3
2.4e-10,2.75e-05,1.6e-05,0.00876,28000000000.0,1620000000.0,1.292,-100.3
2.4e-10,2.75e-05,1.65e-05,0.00876,27900000000.0,1640000000.0,1.27,-100.3
2.4e-10,2.75e-05,1.7e-05,0.00876,27800000000.0,1660000000.0,1.237,-100.3
2.4e-10,2.75e-05,1.75e-05,0.00876,27700000000.0,1680000000.0,1.206,-100.2
2.4e-10,2.75e-05,1.8e-05,0.00876,27700000000.0,1700000000.0,1.181,-100.2
2.4e-10,2.75e-05,1.85e-05,0.00876,27600000000.0,1710000000.0,1.144,-100.2
2.4e-10,2.75e-05,1.9e-05,0.00876,27500000000.0,1720000000.0,1.103,-100.1
2.4e-10,2.75e-05,1.95e-05,0.00876,27500000000.0,1730000000.0,1.057,-100.0
2.4e-10,2.75e-05,2e-05,0.00876,27400000000.0,1730000000.0,1.015,-99.92
2.4e-10,2.75e-05,2.05e-05,0.00876,27400000000.0,1740000000.0,0.977,-99.96
2.4e-10,2.75e-05,2.1e-05,0.00876,27300000000.0,1740000000.0,0.922,-99.85
2.4e-10,2.75e-05,2.15e-05,0.00876,27300000000.0,1740000000.0,0.87,-99.75
2.4e-10,2.75e-05,2.2e-05,0.00876,27200000000.0,1740000000.0,0.822,-99.7
2.4e-10,2.75e-05,2.25e-05,0.00876,27200000000.0,1740000000.0,0.773,-99.65
2.4e-10,2.75e-05,2.3e-05,0.00876,27100000000.0,1730000000.0,0.711,-99.44
2.4e-10,2.75e-05,2.35e-05,0.00876,27100000000.0,1720000000.0,0.66,-99.34
2.4e-10,2.75e-05,2.4e-05,0.00876,27000000000.0,1710000000.0,0.597,-99.18
2.4e-10,2.75e-05,2.45e-05,0.00876,27000000000.0,1700000000.0,0.539,-99.04
2.4e-10,2.75e-05,2.5e-05,0.00876,27000000000.0,1690000000.0,0.48,-99.1
2.4e-10,2.75e-05,2.55e-05,0.00876,26900000000.0,1670000000.0,0.416,-98.72
2.4e-10,2.75e-05,2.6e-05,0.00876,26900000000.0,1650000000.0,0.351,-98.54
2.4e-10,2.75e-05,2.65e-05,0.00876,26900000000.0,1640000000.0,0.287,-98.75
2.4e-10,2.75e-05,2.7e-05,0.00876,26800000000.0,1610000000.0,0.221,-98.25
2.4e-10,2.75e-05,2.75e-05,0.00876,26800000000.0,1590000000.0,0.155,-97.65
2.4e-10,2.75e-05,2.8e-05,0.00876,26800000000.0,1570000000.0,0.089,-97.45
2.4e-10,2.75e-05,2.85e-05,0.00876,26800000000.0,1550000000.0,0.02,-97.28
2.4e-10,2.75e-05,2.9e-05,0.00876,26700000000.0,1520000000.0,-0.047,-96.94
2.4e-10,2.75e-05,2.95e-05,0.00876,26700000000.0,1490000000.0,-0.114,-96.21
2.4e-10,2.75e-05,3e-05,0.00876,26700000000.0,1470000000.0,-0.183,-96.06
2.4e-10,2.8e-05,1e-05,0.00874,28800000000.0,1160000000.0,1.108,-97.04
2.4e-10,2.8e-05,5e-06,0.00874,29600000000.0,568000000.0,0.667,-92.88
2.4e-10,2.8e-05,5.5e-06,0.00874,29500000000.0,635000000.0,0.731,-93.62
2.4e-10,2.8e-05,6e-06,0.00874,29500000000.0,696000000.0,0.794,-93.42
2.4e-10,2.8e-05,6.5e-06,0.00874,29400000000.0,758000000.0,0.853,-94.04
2.4e-10,2.8e-05,7e-06,0.00874,29300000000.0,820000000.0,0.897,-94.44
2.4e-10,2.8e-05,7.5e-06,0.00874,29200000000.0,880000000.0,0.951,-94.83
2.4e-10,2.8e-05,8e-06,0.00874,29100000000.0,942000000.0,0.989,-95.4
2.4e-10,2.8e-05,8.5e-06,0.00874,29000000000.0,998000000.0,1.03,-95.6
2.4e-10,2.8e-05,9e-06,0.00874,28900000000.0,1050000000.0,1.064,-96.03
2.4e-10,2.8e-05,9.5e-06,0.00874,28900000000.0,1110000000.0,1.089,-96.57
2.4e-10,2.8e-05,1.05e-05,0.00874,28700000000.0,1210000000.0,1.129,-97.42
2.4e-10,2.8e-05,1.1e-05,0.00874,28600000000.0,1250000000.0,1.153,-97.56
2.4e-10,2.8e-05,1.15e-05,0.00874,28500000000.0,1300000000.0,1.165,-97.64
2.4e-10,2.8e-05,1.2e-05,0.00874,28400000000.0,1340000000.0,1.165,-98.43
2.4e-10,2.8e-05,1.25e-05,0.00874,28300000000.0,1380000000.0,1.169,-98.55
2.4e-10,2.8e-05,1.3e-05,0.00874,28300000000.0,1420000000.0,1.174,-98.52
2.4e-10,2.8e-05,1.35e-05,0.00874,28200000000.0,1460000000.0,1.167,-98.96
2.4e-10,2.8e-05,1.4e-05,0.00874,28100000000.0,1490000000.0,1.167,-98.99
2.4e-10,2.8e-05,1.45e-05,0.00874,28000000000.0,1520000000.0,1.151,-99.24
2.4e-10,2.8e-05,1.5e-05,0.00874,27900000000.0,1560000000.0,1.139,-99.27
2.4e-10,2.8e-05,1.55e-05,0.00874,27900000000.0,1580000000.0,1.119,-99.58
2.4e-10,2.8e-05,1.6e-05,0.00874,27800000000.0,1610000000.0,1.1,-99.66
2.4e-10,2.8e-05,1.65e-05,0.00874,27700000000.0,1630000000.0,1.075,-99.72
2.4e-10,2.8e-05,1.7e-05,0.00874,27600000000.0,1650000000.0,1.048,-99.82
2.4e-10,2.8e-05,1.75e-05,0.00874,27600000000.0,1670000000.0,1.023,-99.68
2.4e-10,2.8e-05,1.8e-05,0.00874,27500000000.0,1680000000.0,0.989,-99.85
2.4e-10,2.8e-05,1.85e-05,0.00874,27400000000.0,1700000000.0,0.957,-99.76
2.4e-10,2.8e-05,1.9e-05,0.00874,27400000000.0,1710000000.0,0.919,-99.63
2.4e-10,2.8e-05,1.95e-05,0.00874,27300000000.0,1720000000.0,0.879,-99.71
2.4e-10,2.8e-05,2e-05,0.00874,27300000000.0,1730000000.0,0.836,-99.65
2.4e-10,2.8e-05,2.05e-05,0.00874,27200000000.0,1740000000.0,0.798,-99.48
2.4e-10,2.8e-05,2.1e-05,0.00874,27200000000.0,1740000000.0,0.749,-99.33
2.4e-10,2.8e-05,2.15e-05,0.00874,27100000000.0,1740000000.0,0.704,-99.29
2.4e-10,2.8e-05,2.2e-05,0.00874,27100000000.0,1740000000.0,0.653,-99.23
2.4e-10,2.8e-05,2.25e-05,0.00874,27000000000.0,1740000000.0,0.593,-99.14
2.4e-10,2.8e-05,2.3e-05,0.00874,26900000000.0,1730000000.0,0.546,-98.91
2.4e-10,2.8e-05,2.35e-05,0.00874,26900000000.0,1730000000.0,0.488,-98.84
2.4e-10,2.8e-05,2.4e-05,0.00874,26900000000.0,1720000000.0,0.427,-98.68
2.4e-10,2.8e-05,2.45e-05,0.00874,26800000000.0,1710000000.0,0.371,-98.26
2.4e-10,2.8e-05,2.5e-05,0.00874,26800000000.0,1700000000.0,0.313,-97.65
2.4e-10,2.8e-05,2.55e-05,0.00874,26800000000.0,1680000000.0,0.252,-98.09
2.4e-10,2.8e-05,2.6e-05,0.00874,26700000000.0,1660000000.0,0.187,-97.5
2.4e-10,2.8e-05,2.65e-05,0.00874,26700000000.0,1650000000.0,0.124,-97.65
2.4e-10,2.8e-05,2.7e-05,0.00874,26700000000.0,1630000000.0,0.061,-96.86
2.4e-10,2.8e-05,2.75e-05,0.00874,26600000000.0,1610000000.0,-0.004,-96.76
2.4e-10,2.8e-05,2.8e-05,0.00874,26600000000.0,1590000000.0,-0.07,-96.95
2.4e-10,2.8e-05,2.85e-05,0.00874,26600000000.0,1570000000.0,-0.135,-96.02
2.4e-10,2.8e-05,2.9e-05,0.00874,26600000000.0,1550000000.0,-0.203,-96.08
2.4e-10,2.8e-05,2.95e-05,0.00874,26500000000.0,1520000000.0,-0.27,-95.65
2.4e-10,2.8e-05,3e-05,0.00874,26500000000.0,1500000000.0,-0.336,-95.39
2.4e-10,2.85e-05,1e-05,0.00871,28600000000.0,1130000000.0,0.899,-96.02
2.4e-10,2.85e-05,5e-06,0.00871,29400000000.0,544000000.0,0.445,-91.36
2.4e-10,2.85e-05,5.5e-06,0.00871,29300000000.0,605000000.0,0.511,-92.36
2.4e-10,2.85e-05,6e-06,0.00871,29300000000.0,672000000.0,0.57,-93.12
2.4e-10,2.85e-05,6.5e-06,0.00871,29200000000.0,732000000.0,0.631,-92.7
2.4e-10,2.85e-05,7e-06,0.00871,29100000000.0,793000000.0,0.678,-93.2
2.4e-10,2.85e-05,7.5e-06,0.00871,29000000000.0,854000000.0,0.733,-92.08
2.4e-10,2.85e-05,8e-06,0.00871,28900000000.0,909000000.0,0.771,-94.05
2.4e-10,2.85e-05,8.5e-06,0.00871,28800000000.0,965000000.0,0.809,-94.43
2.4e-10,2.85e-05,9e-06,0.00871,28800000000.0,1020000000.0,0.848,-94.74
2.4e-10,2.85e-05,9.5e-06,0.00871,28700000000.0,1080000000.0,0.875,-95.58
2.4e-10,2.85e-05,1.05e-05,0.00871,28500000000.0,1180000000.0,0.921,-96.36
2.4e-10,2.85e-05,1.1e-05,0.00871,28400000000.0,1230000000.0,0.941,-96.26
2.4e-10,2.85e-05,1.15e-05,0.00871,28300000000.0,1270000000.0,0.951,-96.95
2.4e-10,2.85e-05,1.2e-05,0.00871,28300000000.0,1320000000.0,0.961,-97.33
2.4e-10,2.85e-05,1.25e-05,0.00871,28200000000.0,1360000000.0,0.974,-97.07
2.4e-10,2.85e-05,1.3e-05,0.00871,28100000000.0,1400000000.0,0.969,-97.77
2.4e-10,2.85e-05,1.35e-05,0.00871,28000000000.0,1440000000.0,0.968,-97.89
2.4e-10,2.85e-05,1.4e-05,0.00871,27900000000.0,1480000000.0,0.963,-97.98
2.4e-10,2.85e-05,1.45e-05,0.00871,27800000000.0,1510000000.0,0.958,-98.25
2.4e-10,2.85e-05,1.5e-05,0.00871,27800000000.0,1540000000.0,0.942,-98.32
2.4e-10,2.85e-05,1.55e-05,0.00871,27700000000.0,1560000000.0,0.931,-98.59
2.4e-10,2.85e-05,1.6e-05,0.00871,27600000000.0,1590000000.0,0.911,-98.7
2.4e-10,2.85e-05,1.65e-05,0.00871,27600000000.0,1620000000.0,0.889,-98.67
2.4e-10,2.85e-05,1.7e-05,0.00871,27500000000.0,1640000000.0,0.863,-99.02
2.4e-10,2.85e-05,1.75e-05,0.00871,27400000000.0,1660000000.0,0.837,-98.8
2.4e-10,2.85e-05,1.8e-05,0.00871,27300000000.0,1680000000.0,0.802,-99.07
2.4e-10,2.85e-05,1.85e-05,0.00871,27300000000.0,1690000000.0,0.776,-98.93
2.4e-10,2.85e-05,1.9e-05,0.00871,27200000000.0,1710000000.0,0.738,-98.97
2.4e-10,2.85e-05,1.95e-05,0.00871,27200000000.0,1720000000.0,0.698,-98.95
2.4e-10,2.85e-05,2e-05,0.00871,27100000000.0,1720000000.0,0.658,-98.98
2.4e-10,2.85e-05,2.05e-05,0.00871,27100000000.0,1730000000.0,0.612,-98.71
2.4e-10,2.85e-05,2.1e-05,0.00871,27000000000.0,1740000000.0,0.566,-98.79
2.4e-10,2.85e-05,2.15e-05,0.00871,26900000000.0,1740000000.0,0.527,-98.64
2.4e-10,2.85e-05,2.2e-05,0.00871,26900000000.0,1740000000.0,0.478,-98.42
2.4e-10,2.85e-05,2.25e-05,0.00871,26800000000.0,1740000000.0,0.421,-98.44
2.4e-10,2.85e-05,2.3e-05,0.00871,26800000000.0,1740000000.0,0.37,-98.15
2.4e-10,2.85e-05,2.35e-05,0.00871,26700000000.0,1730000000.0,0.316,-98.0
2.4e-10,2.85e-05,2.4e-05,0.00871,26700000000.0,1730000000.0,0.263,-99.15
2.4e-10,2.85e-05,2.45e-05,0.00871,26700000000.0,1720000000.0,0.205,-97.22
2.4e-10,2.85e-05,2.5e-05,0.00871,26600000000.0,1710000000.0,0.145,-98.93
2.4e-10,2.85e-05,2.55e-05,0.00871,26600000000.0,1690000000.0,0.086,-96.66
2.4e-10,2.85e-05,2.6e-05,0.00871,26600000000.0,1680000000.0,0.025,-97.2
2.4e-10,2.85e-05,2.65e-05,0.00871,26500000000.0,1660000000.0,-0.039,-96.84
2.4e-10,2.85e-05,2.7e-05,0.00871,26500000000.0,1650000000.0,-0.1,-96.22
2.4e-10,2.85e-05,2.75e-05,0.00871,26500000000.0,1630000000.0,-0.166,-96.27
2.4e-10,2.85e-05,2.8e-05,0.00871,26400000000.0,1610000000.0,-0.229,-95.7
2.4e-10,2.85e-05,2.85e-05,0.00871,26400000000.0,1590000000.0,-0.295,-95.57
2.4e-10,2.85e-05,2.9e-05,0.00871,26400000000.0,1570000000.0,-0.36,-95.21
2.4e-10,2.85e-05,2.95e-05,0.00871,26400000000.0,1550000000.0,-0.426,-94.48
2.4e-10,2.85e-05,3e-05,0.00871,26300000000.0,1530000000.0,-0.492,-94.46
2.4e-10,2.9e-05,1e-05,0.00869,28400000000.0,1100000000.0,0.689,-94.77
2.4e-10,2.9e-05,5e-06,0.00869,29200000000.0,517000000.0,0.219,-92.16
